,oid,timestamp,rpid,uid,uname,content,likes,replies
206,1253142358,1712920948,216552386720,1199057705,兰到天际,什么时候送北碚这边的单？[doge],1,0
48,1253142358,1713064005,216801245888,32568328,丹柯达,你这车里咋这么满啊,0,0
152,1253142358,1712948937,216612113472,323300652,ymfboy,投币回血,0,0
99,1253142358,1712989316,216668374080,472622439,周杰伦iii,果然广西人每次出远门打工都有顺利的红包,0,0
217,1253142358,1712919590,216548942416,3493077977139814,_琉璃狐,动感光波!,1,0
193,1253142358,1712925533,216564109072,401115598,-JeIIy-,还在重庆呀 唉听到那些熟悉的口音 有点想家了[再见],0,0
9,1253142358,1713174755,217005369216,56300922,莫甘娜_凉冰,这个口音好魔性，我能留住关注就是因为这个小哥的口音和嘴碎，哈哈哈，可爱极了,0,0
32,1253142358,1713096738,216880491792,295558137,隼鸣Akali,@电音小仓鼠 他可有意思了[大笑],1,1
42,1253142358,1713070725,216818540496,15662082,红鲤姨已丽鲤姨以梨,才想起来，老六有鼻炎，我说怎么听声音老是像感冒一样[笑哭],0,0
215,1253142358,1712919866,216549592176,408933050,5dpi3a,正片呢？[笑哭],0,0
64,1253142358,1713018212,216738391440,3537106183915792,花生油拌豆浆,他是广西的吗？,0,0
178,1253142358,1712934558,216587725552,244360936,char2531,好家伙….你小子可以的！,0,0
114,1253142358,1712981232,216648915808,3493128319273683,开-心过每一天,能来沈阳送外卖吗明年就是有点冷。,0,0
101,1253142358,1712987053,216663569712,355882889,箫情璃殇丨,"呵呵呵呵快笑死我了
老六：你还要吃生肉啊你怎么吃的比我还好
弹幕：那你也吃生肉啊
哈哈哈哈哈哈哈",0,0
124,1253142358,1712974605,216634727248,141137213,媄人兮,劳动人民最光荣[支持][支持][支持],0,0
65,1253142358,1713017751,216737017184,80687692,别凶我我有抑郁症,哪位兄台知道老六这个踏板摩托是啥子牌子型号啊，最近我自个儿也想整一个溜达去咯,0,3
92,1253142358,1712993682,216677371392,3493132861705170,带回那曰暮的梦,小子，你看好币是这样用的,2,0
155,1253142358,1712945075,216608732064,1402072454,曲终仙,来早了，所以来蹭一下流量，很合理伐[大笑],0,0
116,1253142358,1712979737,216645339696,1603178720,我比狗困ng,不是哥们，你要帅死我吗？啊？,0,0
110,1253142358,1712982344,216651751968,3494364472936458,藓微人植,[doge][doge][doge]今天是个假老六代播，没喊喵桑，没喊动感光波,10,0
164,1253142358,1712940988,216602781888,322624788,我是神仙2,让我丢人，哎，父母都一样，都想着自己辛苦把最好的留给子女，我们往往能对陌生人客气，可就是对爱自己的人说不出我爱你，并且有时候还让他们担心。,0,0
122,1253142358,1712976233,216637856064,494762191,长风707,一个真真的man,0,0
143,1253142358,1712960380,216617161520,1277139881,合欢宗--宗主,叼毛[脱单doge]我也想吃猪脚饭[doge],0,0
237,1253142358,1712918745,216546756816,3537113997904361,lbnoa,[星星眼][星星眼][星星眼]来啦,4,0
131,1253142358,1712970758,216627701248,14779876,霊長類鑑識家,我很少以热闹形容一个外卖员[笑哭],2,0
29,1253142358,1713099784,216888061968,477807597,王嘟嘟U,万一奶奶捡起来顺手扔垃圾桶怎么办[辣眼睛],1,0
224,1253142358,1712919046,216547634832,517580,Li-y-z,我也跑外卖，以前也看到这种老人在搜东西，唉心酸。,137,4
68,1253142358,1713012393,216722212288,2102147041,练歌的零,清华大学？！[哦呼],0,0
129,1253142358,1712972610,216630883664,176580844,死不悔改de喵星人,感动,0,0
118,1253142358,1712977762,216641039456,1473684503,小夕好无聊,先记着，等下次有钱了再来[doge],0,0
35,1253142358,1713088981,216860765664,198823062,sin璀璨烟火,送外卖拍照的时候还指了一下[笑哭]我这边点的时候也有一次是指了一下，拍了照知道位置的，但是指一下就怪怪的,0,0
44,1253142358,1713070491,216817903008,6303711,短剑v,虽然价格低  但是我活着不给社会增加负担就是很开心[呲牙][呲牙][呲牙][呲牙],0,0
225,1253142358,1712919002,216547465280,232484730,光阴YiN,彦祖丢红包的时候真帅,0,0
13,1253142358,1713155764,216969163728,39424621,在线加班急,老六感冒🤧了嘛,0,0
62,1253142358,1713026352,216759321840,370133000,汤汤Zia,我c 我家！！,0,2
175,1253142358,1712937477,216595376688,31678712,三竿犹眠,老六，三月三了喔！,0,0
231,1253142358,1712918825,216547057744,1070639258,玩游戏就一定要笑玩你,第一,0,0
15,1253142358,1713147776,216952852512,1979511637,断杀之权,[妙啊],0,0
245,1253142358,1712918725,216546738928,61953075,阿米娅的小兔耳朵,[猫猫手电筒_一团],2,0
67,1253142358,1713013246,216724584528,3546648395385369,买狗铁拳,你有百万粉丝，有原因的,0,0
61,1253142358,1713026466,216759549264,474998866,甜在苦中寻,今天算你厉害 币给你了,0,0
105,1253142358,1712983994,216656124080,1589882017,bili_54601648062,第一次刷到老六的时候，才一两万粉，现在已经128w了，加油,0,0
11,1253142358,1713157600,216973597152,85267919,S1mple_Killer,快乐的生活,0,0
79,1253142358,1713005536,216704625136,3493132284987776,地铁地下,做的好,0,0
45,1253142358,1713069206,216814466944,3493279484087101,Kiyohime清姬,说吧   红红的那个 大概多少[脱单doge],0,0
192,1253142358,1712925830,216564996464,290556419,艾克在流浪,[疑惑],0,2
201,1253142358,1712922746,216557072400,40963029,蒙哥丶卡恩么么哒,你要帅死我[星星眼],0,0
220,1253142358,1712919442,216548592368,19880623,被夹的脑门,小六，硬币🪙掉了，记得捡起来蛤[调皮],21,0
