,oid,timestamp,rpid,uid,uname,content,likes,replies
628,1503009747,1713034335,216770518528,389631199,原批笑话合集,这up可太幽默了，把沙俄当成苏联。你咋不把新中国当清朝呢？[抠鼻]这么快就暴露你的成分了,2,1
400,1503009747,1713081781,216844211120,2764729,蛟龙Tomy,最后那段文字多么讽刺啊 说的是李小璋不肯脚踏实地 实则全剧对于李小璋做出这种走捷径的原因给出了相当充实的解释 这是一部明显批判当时社会的电影 讽刺的是他不得在最后将错归结于李小璋才能够上映,0,0
709,1503009747,1713023183,216752081152,481177628,筱靥屮,从今天起，不自我逃避，我曾经也埋怨过我没有一个好爸爸，但事实是有人在窃取伟人带领人民创建的伟大果实！我自然的发生:不！！！！！！,2,3
682,1503009747,1713024935,216756215664,111740457,新的大呗,狠片。。,0,0
1111,1503009747,1712977676,216640974768,444735971,谢文东北京科技大学,剧中李达一出场，不怒自威。也许有一分好奇，不在第一时间戳穿，想看这是如何的一张网。后面也许有一分愧意，长江昔日击楫声，而今有愧毅重名。但救校长百害无一利，只能处理他。,1741,34
226,1503009747,1713111617,216918781616,2241106,pinkor,居然是谭校长演的[哦呼],2,0
537,1503009747,1713062429,216797592928,276854263,在下云影,任何时候都应欢迎这样的电影，这样的声音，国家才能进步，人民才能得到公平,0,0
987,1503009747,1712998001,216686380208,340340378,三千树叶OoO,不得不说，李小樟演技和心理素质确实过硬,53,3
621,1503009747,1713035063,216771083008,67352440,Nhdfgredeeeeee,不是你老发给我们这种底层看了干嘛 啥意思啊,2,1
968,1503009747,1712999564,216689888272,521430179,千千萬萬個我,30:05 最后的这段白字的话，让全片达到了最高潮,162,15
454,1503009747,1713072865,216824205632,454694939,bili_67374159357,这是咱们台湾省拍的哦，可能会有一点点的艺术性夸大成分[doge],10,14
327,1503009747,1713094212,216874173088,110107672,魔人布欧胖乎乎,一群数字生命，蝇蝇蝇，嘤嘤嘤。没用的。,1,0
782,1503009747,1713015586,216730879392,440510114,火箭大套餐,你现在能搜到 b0。 西莱不[喜极而泣],9,5
984,1503009747,1712998074,216686589152,385730741,SsciNoi,戳粉区自尊,1,0
638,1503009747,1713032615,216768883328,23890940,清errr,东野毕之失马[笑],0,0
861,1503009747,1713008545,216712232672,8734556,树下啃面包,片中提到的李达将军在1993年逝世，也就是说将军本人在世的时候很可能听说过甚至看过这部电影,2091,33
1032,1503009747,1712991541,216672857808,3546583215900794,玄学小馆,以前的影视剧老百姓真的喜欢看[支持],2,0
213,1503009747,1713115801,216926278992,406281854,真嗣没劲,世界就是一个巨大的舞台，就看谁最会演戏,1,0
206,1503009747,1713116766,216927457872,1256839660,查重报告,看来，怨气冲天了,1,0
552,1503009747,1713060554,216793683792,4645594,与心搏斗,总有一天沉默也会被视为背叛,1,0
494,1503009747,1713068743,216813318160,13053062,勿关風月,@千千静听__ 好看,0,1
1069,1503009747,1712986999,216663471728,26598249,阿基米德的洗澡盆,到最后的立意居然是要提醒的是想走捷径的人吗……难道不是……？？？[吃瓜],278,24
30,1503009747,1713188738,217039270496,1033836259,幻影中追寻你的踪迹,这个世界不存在假如，也不会有假如,1,0
590,1503009747,1713053333,216781484112,58163958,我为小丑鱼的爱情冲出鱼塘,[吃瓜]像啊像啊 小说也是这样写,0,0
77,1503009747,1713176315,217008853024,598699322,爱打游戏的昊仔,"王童，1942年4月4日出生于中国安徽太和县，毕业于台湾艺术专科学校，中国台湾男导演、编剧、制片人、美术指导。
1981年，执导导演处女作《假如我是真的》，凭借该片获得第18届台湾电影金马奖最佳美术设计提名 【1】。1982年，拍摄爱情电影《苦恋》，该片获得第19届台湾电影金马奖最佳剧情片提名 【2】。1983年，执导剧情片《看海的日子》，该片获得第20届台湾电影金马奖最佳剧情片提名 【3】。1984年，执导古装片《策马入林》，由此获得第22届台湾电影金马奖最佳美术设计奖和最佳服装设计奖 【4】。1985年，拍摄喜剧电影《阳春老爸》。1987年，执导剧情片《稻草人》，由此获得第24届台湾电影金马奖最佳导演奖 【5】。1989年，执导剧情片《香蕉天堂》，凭借该片获得了第26届台湾电影金马奖最佳服装设计提名 【6】。1992年，执导剧情片《无言的山丘》，因此获得第29届台湾电影金马奖最佳导演奖 【7】。1996年，编导剧情片《红柿子》，凭借该片获得第33届台湾电影金马奖最佳导演奖提名 【8】。2002年，执导剧情片《自由门神》。2004年，在青春版昆曲《牡丹亭》中担任美术设计和服装设计。2005年，执导个人首部动画长片《红孩儿大话火焰山》，该片获得第42届台湾电影金马奖最佳动画长片奖 【9】、第11届中国电影华表奖优秀动画片奖 【10】。",5,2
91,1503009747,1713170852,216997171216,126086761,尼古拉斯---大炮,千言万语化作一声叹息[辣眼睛],0,0
1127,1503009747,1712974292,216633903184,571819128,王泥溤,李大爷[星星眼],0,0
523,1503009747,1713065111,216803880352,699606475,小小水瓶瓶,谭校长多年后演唱电影主题曲https://b23.tv/BV1JM4y1p7mX,0,0
60,1503009747,1713181416,217021615696,287385804,一瞬的扯淡,竟然是谭咏麟,1,0
983,1503009747,1712998253,216686919744,3546612108363980,姬波常,不想看了  只有干生气     无可奈何,1,0
84,1503009747,1713173126,217001701152,3493080877500660,bili_41920836170,理想与现实,0,0
715,1503009747,1713022617,216750538976,102771532,龙的传人l,男主这么nb他居然只为了上调,0,1
863,1503009747,1713008521,216712278128,1148091092,唯物天奇,生活中确实存在蝇营狗苟，但很多人恨的不是特权，而是恨自己不是特权，想走捷径不想吃苦这是人之常情，抱怨换来的只有醋味，做好自己就行,0,1
487,1503009747,1713068999,216814036352,1407269630,SHuoik,我爸当年当兵考上军校了，结果只有一个名额，被军长的儿子挤掉了[笑哭],19,12
802,1503009747,1713013051,216723958704,243934183,Yuyu呢_,拍了有什么用？,1,0
75,1503009747,1713176555,217009600336,477930858,浮云咸鱼剑,挺悲伤的,0,0
196,1503009747,1713123623,216932705952,1473425424,小巷子里最靓的仔,男女主都有觉悟，如果脑洞大可以配合演戏栽赃嫁祸[呲牙],0,0
15,1503009747,1713193014,217050895184,77122602,哈咯嘛呀,"我比较摆，只要不影响到家人生活爱咋咋滴
而且我只相信我见的，不巧的时运气不错都见过些，可惜说不出啊",0,0
591,1503009747,1713052544,216780666400,330178062,高冷的汤米维赛提,我爸和我大爷一个是塔吊队队长一个是司机我去单位只能当施工员 我们项目经理他爸是他们市的民政局的局长他叔叔是单位的副总 他上班就是项目经理 所以说呵呵了,2,0
798,1503009747,1713013447,216724945920,348679031,渡渡挤,山雨欲来风满楼,0,0
1034,1503009747,1712991378,216672465488,3546393106975470,刻成盘,赵团长演过一版灭绝,1,0
570,1503009747,1713057573,216787791664,445684376,资源收藏者,真好,0,0
167,1503009747,1713142319,216944414496,3461568251562540,核动力员工,这片是台湾拍的？,0,0
176,1503009747,1713138429,216939817424,486661741,梦想编织未来,现在拍过不了审，只能看老片来回忆了,4,1
1192,1503009747,1712964006,216619272400,489525593,李知恩为何下凡I,女主是邓丽君？,1,6
923,1503009747,1713002677,216697144192,4200845,前尘渡月梦,笑死我了，说这些都没用的，只怪我们没有一个好爸爸,1,0
321,1503009747,1713094921,216875743776,261062765,富士风味,我没看 我没听 我没懂,0,0
222,1503009747,1713112757,216921119600,43951576,爬出井的蛙,一百多万的up主，居然敢发这样的视频，你是真打算最后一期了吗？[笑哭],0,0
315,1503009747,1713095542,216877400320,238538300,啊呀哟喂喂,我记得小时候和爸妈一起看台湾片，没有现在这种台湾腔啊，为什么现在台湾腔和以前大不一样了？,5,1
163,1503009747,1713143498,216946042064,1465036720,天启袁浩,这一开场的几句很震撼[doge],0,0
1184,1503009747,1712964571,216619756224,293649310,猪蹄不啃咽不下,以前农村户口到城里工作都很难呢[呲牙],58,11
547,1503009747,1713061619,216795752528,1369683675,CHENB2575,谭咏麟演的不错啊,3,0
1169,1503009747,1712966035,216621191920,1914322696,bili_注册答了一百道题,中肯的,3,0
303,1503009747,1713097083,216881194640,44630452,骑狗上阵,最让我恶心的是的让我摇号油改电，应着4年后也就是24年就有电指标，我改了，第二年添加家庭摇号，把我这个推到30年，这跟诈骗有什么区别,2,3
1207,1503009747,1712962683,216618482944,3546585151572710,武文吞道,谭校长,36,0
506,1503009747,1713066475,216807169056,242297770,以爱之名521,唉，当年苦啊,0,0
829,1503009747,1713011123,216718798880,23038701,青藤白阳丶,所以到底有什么好办法呢？难道说真要按那老人家的法子来？[桃源_乖巧][桃源_乖巧],1,0
484,1503009747,1713069085,216814194976,385554610,迦南圣经,"王老师:哦，说到这里，人家圆滑的作文又获得了……题目是《我的区长……》
夏洛:人家拼的是学习嘛[藏狐]……
王老师:管人家拼什么，拼不过就……",0,0
22,1503009747,1713191059,217045353152,689286862,聪明的human,得直视问题 而不是见到就阴阳怪气,3,0
125,1503009747,1713157429,216973381344,1418652698,白色的黑墨_,先缓存吧[笑哭][笑哭],0,0
